City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
537,urengoy,100,RU,1690593740,86,65.9667,78.3667,65.16,3.36
538,mahanje,0,TZ,1690593741,91,-9.9333,35.3333,54.88,2.95
539,fortuna,0,US,1690593741,72,40.5982,-124.1573,69.93,10.36
540,tromso,75,NO,1690593741,87,69.6496,18.957,50.38,6.91
541,trenggalek,100,ID,1690593741,77,-8.05,111.7167,74.14,5.97
542,mahalapye,100,BW,1690593741,37,-23.1041,26.8142,61.25,11.43
543,bhisho,10,ZA,1690593741,65,-32.8472,27.4422,56.43,5.17
544,mgandu,7,TZ,1690593742,79,-5.95,34.1333,57.34,6.98
545,papao,14,PF,1690593742,84,-17.75,-149.55,74.88,20.96
546,devonport,99,AU,1690593742,96,-41.1667,146.35,56.52,1.01
547,toga village,0,ES,1690593742,86,40.05,-0.3667,73.22,2.64
548,kirillov,100,RU,1690593742,98,59.863,38.3813,52.43,3.56
549,opuwo,95,NA,1690593742,50,-18.0607,13.84,53.53,6.96
550,manta,75,EC,1690593569,73,-0.95,-80.7333,78.58,13.0
551,vicuna,89,CL,1690593742,29,-30.0319,-70.7081,47.93,1.34
552,ginir,91,ET,1690593743,83,7.1333,40.7,57.74,7.11
553,kenai,100,US,1690593743,97,60.5544,-151.2583,58.08,5.75
554,salamanca,0,ES,1690593743,90,40.8333,-6.0,64.18,4.0
555,grand falls-windsor,14,US,1690593726,8,38.8755,-109.5012,99.59,7.81
556,airuk,71,MH,1690593743,76,7.2772,168.8203,83.64,12.88
557,piti village,100,SL,1690593743,100,8.6953,-11.7017,72.55,1.59
558,talcahuano,100,CL,1690593714,100,-36.7167,-73.1167,51.48,4.61
559,tabas,50,IR,1690593743,21,33.5959,56.9244,90.19,2.06
560,santa elena de uairen,100,PH,1690593744,78,17.486,120.4348,83.01,4.92
561,peace river,100,UA,1690593744,91,48.3083,38.0721,60.13,17.22
562,jumla,97,NP,1690593744,96,29.2747,82.1838,63.23,1.54
563,san pedro pochutla,100,ML,1690593744,68,13.3034,-4.8956,81.79,7.29
564,tvoroyri,100,FO,1690593744,98,61.5556,-6.8111,52.38,18.07
